Feature,Mean_SHAP
age,0.09604994596838949
sysBP,0.02418670762133387
pack_years,0.021941199659875465
pulse_pressure,0.02159744133097783
male,0.017296230828868484
cigsPerDay,0.011995293000446893
diaBP,0.010516873304492668
totChol,0.010509166866700559
BMI,0.00820176217577287
glucose,0.007141965063714556
prevalentHyp,0.005543042533738275
heartRate,0.002935816349461674
education,0.0020262331292033196
diabetes,0.0015257904593433658
BPMeds,0.0005700637146830576
currentSmoker,0.0005425114753523039
prevalentStroke,0.0
